night_id,day,first,second,third,fourth
1,"Saturday, Sep 14, 2024",8,0,1,7
2,"Friday, Sep 13, 2024",7,0,5,5
3,"Thursday, Sep 12, 2024",1,4,6,3
4,"Wednesday, Sep 11, 2024",5,8,6,1
5,"Tuesday, Sep 10, 2024",8,7,3,2
6,"Monday, Sep 09, 2024",7,2,5,4
7,"Sunday, Sep 08, 2024",3,5,4,0
8,"Saturday, Sep 07, 2024",3,5,8,5
9,"Friday, Sep 06, 2024",6,9,5,7
10,"Thursday, Sep 05, 2024",8,8,2,8
11,"Wednesday, Sep 04, 2024",4,1,2,2
12,"Tuesday, Sep 03, 2024",9,6,1,4
13,"Monday, Sep 02, 2024",2,4,1,9
14,"Sunday, Sep 01, 2024",3,5,8,0
15,"Saturday, Aug 31, 2024",9,1,6,6
16,"Friday, Aug 30, 2024",2,4,5,4
17,"Thursday, Aug 29, 2024",5,4,0,8
18,"Wednesday, Aug 28, 2024",1,6,2,5
19,"Tuesday, Aug 27, 2024",3,2,2,7
20,"Monday, Aug 26, 2024",5,7,4,8
21,"Sunday, Aug 25, 2024",2,7,9,3
22,"Saturday, Aug 24, 2024",4,2,4,3
23,"Friday, Aug 23, 2024",1,7,5,4
24,"Thursday, Aug 22, 2024",5,9,7,5
25,"Wednesday, Aug 21, 2024",2,2,4,4
26,"Tuesday, Aug 20, 2024",3,7,5,2
27,"Monday, Aug 19, 2024",0,8,6,9
28,"Sunday, Aug 18, 2024",3,8,0,1
29,"Saturday, Aug 17, 2024",9,2,4,7
30,"Friday, Aug 16, 2024",6,4,7,6
31,"Thursday, Aug 15, 2024",9,5,6,1
32,"Wednesday, Aug 14, 2024",7,0,8,1
33,"Tuesday, Aug 13, 2024",9,6,2,7
34,"Monday, Aug 12, 2024",6,3,0,9
35,"Sunday, Aug 11, 2024",3,7,6,5
36,"Saturday, Aug 10, 2024",0,2,7,9
37,"Friday, Aug 09, 2024",0,1,8,7
38,"Thursday, Aug 08, 2024",6,0,9,4
39,"Wednesday, Aug 07, 2024",6,7,9,0
40,"Tuesday, Aug 06, 2024",2,9,8,7
41,"Monday, Aug 05, 2024",2,2,7,4
42,"Sunday, Aug 04, 2024",8,2,3,9
43,"Saturday, Aug 03, 2024",0,9,2,0
44,"Friday, Aug 02, 2024",2,8,1,4
45,"Thursday, Aug 01, 2024",2,6,6,6
46,"Wednesday, Jul 31, 2024",8,6,8,3
47,"Tuesday, Jul 30, 2024",7,4,6,7
48,"Monday, Jul 29, 2024",7,1,9,6
49,"Sunday, Jul 28, 2024",6,2,1,0
50,"Saturday, Jul 27, 2024",0,2,5,1
51,"Friday, Jul 26, 2024",4,6,3,3
52,"Thursday, Jul 25, 2024",4,6,8,6
53,"Wednesday, Jul 24, 2024",7,1,6,2
54,"Tuesday, Jul 23, 2024",8,1,6,4
55,"Monday, Jul 22, 2024",1,1,7,4
56,"Sunday, Jul 21, 2024",7,7,4,5
57,"Saturday, Jul 20, 2024",2,2,0,3
58,"Friday, Jul 19, 2024",8,9,7,0
59,"Thursday, Jul 18, 2024",4,6,1,1
60,"Wednesday, Jul 17, 2024",9,1,2,7
61,"Tuesday, Jul 16, 2024",6,4,9,6
62,"Monday, Jul 15, 2024",1,0,6,4
63,"Sunday, Jul 14, 2024",8,5,0,7
64,"Saturday, Jul 13, 2024",0,3,7,2
