id,first,second,third
1,0,0,0
2,0,0,1
3,0,0,2
4,0,0,3
5,0,0,4
6,0,0,5
7,0,0,6
8,0,0,7
9,0,0,8
10,0,0,9
11,0,1,1
12,0,1,2
13,0,1,3
14,0,1,4
15,0,1,5
16,0,1,6
17,0,1,7
18,0,1,8
19,0,1,9
20,0,2,2
21,0,2,3
22,0,2,4
23,0,2,5
24,0,2,6
25,0,2,7
26,0,2,8
27,0,2,9
28,0,3,3
29,0,3,4
30,0,3,5
31,0,3,6
32,0,3,7
33,0,3,8
34,0,3,9
35,0,4,4
36,0,4,5
37,0,4,6
38,0,4,7
39,0,4,8
40,0,4,9
41,0,5,5
42,0,5,6
43,0,5,7
44,0,5,8
45,0,5,9
46,0,6,6
47,0,6,7
48,0,6,8
49,0,6,9
50,0,7,7
51,0,7,8
52,0,7,9
53,0,8,8
54,0,8,9
55,0,9,9
56,1,1,1
57,1,1,2
58,1,1,3
59,1,1,4
60,1,1,5
61,1,1,6
62,1,1,7
63,1,1,8
64,1,1,9
65,1,2,2
66,1,2,3
67,1,2,4
68,1,2,5
69,1,2,6
70,1,2,7
71,1,2,8
72,1,2,9
73,1,3,3
74,1,3,4
75,1,3,5
76,1,3,6
77,1,3,7
78,1,3,8
79,1,3,9
80,1,4,4
81,1,4,5
82,1,4,6
83,1,4,7
84,1,4,8
85,1,4,9
86,1,5,5
87,1,5,6
88,1,5,7
89,1,5,8
90,1,5,9
91,1,6,6
92,1,6,7
93,1,6,8
94,1,6,9
95,1,7,7
96,1,7,8
97,1,7,9
98,1,8,8
99,1,8,9
100,1,9,9
101,2,2,2
102,2,2,3
103,2,2,4
104,2,2,5
105,2,2,6
106,2,2,7
107,2,2,8
108,2,2,9
109,2,3,3
110,2,3,4
111,2,3,5
112,2,3,6
113,2,3,7
114,2,3,8
115,2,3,9
116,2,4,4
117,2,4,5
118,2,4,6
119,2,4,7
120,2,4,8
121,2,4,9
122,2,5,5
123,2,5,6
124,2,5,7
125,2,5,8
126,2,5,9
127,2,6,6
128,2,6,7
129,2,6,8
130,2,6,9
131,2,7,7
132,2,7,8
133,2,7,9
134,2,8,8
135,2,8,9
136,2,9,9
137,3,3,3
138,3,3,4
139,3,3,5
140,3,3,6
141,3,3,7
142,3,3,8
143,3,3,9
144,3,4,4
145,3,4,5
146,3,4,6
147,3,4,7
148,3,4,8
149,3,4,9
150,3,5,5
151,3,5,6
152,3,5,7
153,3,5,8
154,3,5,9
155,3,6,6
156,3,6,7
157,3,6,8
158,3,6,9
159,3,7,7
160,3,7,8
161,3,7,9
162,3,8,8
163,3,8,9
164,3,9,9
165,4,4,4
166,4,4,5
167,4,4,6
168,4,4,7
169,4,4,8
170,4,4,9
171,4,5,5
172,4,5,6
173,4,5,7
174,4,5,8
175,4,5,9
176,4,6,6
177,4,6,7
178,4,6,8
179,4,6,9
180,4,7,7
181,4,7,8
182,4,7,9
183,4,8,8
184,4,8,9
185,4,9,9
186,5,5,5
187,5,5,6
188,5,5,7
189,5,5,8
190,5,5,9
191,5,6,6
192,5,6,7
193,5,6,8
194,5,6,9
195,5,7,7
196,5,7,8
197,5,7,9
198,5,8,8
199,5,8,9
200,5,9,9
201,6,6,6
202,6,6,7
203,6,6,8
204,6,6,9
205,6,7,7
206,6,7,8
207,6,7,9
208,6,8,8
209,6,8,9
210,6,9,9
211,7,7,7
212,7,7,8
213,7,7,9
214,7,8,8
215,7,8,9
216,7,9,9
217,8,8,8
218,8,8,9
219,8,9,9
220,9,9,9
