id,first,second,third
1,0,1,2
2,0,1,3
3,0,1,4
4,0,1,5
5,0,1,6
6,0,1,7
7,0,1,8
8,0,1,9
9,0,2,1
10,0,2,3
11,0,2,4
12,0,2,5
13,0,2,6
14,0,2,7
15,0,2,8
16,0,2,9
17,0,3,1
18,0,3,2
19,0,3,4
20,0,3,5
21,0,3,6
22,0,3,7
23,0,3,8
24,0,3,9
25,0,4,1
26,0,4,2
27,0,4,3
28,0,4,5
29,0,4,6
30,0,4,7
31,0,4,8
32,0,4,9
33,0,5,1
34,0,5,2
35,0,5,3
36,0,5,4
37,0,5,6
38,0,5,7
39,0,5,8
40,0,5,9
41,0,6,1
42,0,6,2
43,0,6,3
44,0,6,4
45,0,6,5
46,0,6,7
47,0,6,8
48,0,6,9
49,0,7,1
50,0,7,2
51,0,7,3
52,0,7,4
53,0,7,5
54,0,7,6
55,0,7,8
56,0,7,9
57,0,8,1
58,0,8,2
59,0,8,3
60,0,8,4
61,0,8,5
62,0,8,6
63,0,8,7
64,0,8,9
65,0,9,1
66,0,9,2
67,0,9,3
68,0,9,4
69,0,9,5
70,0,9,6
71,0,9,7
72,0,9,8
73,1,0,2
74,1,0,3
75,1,0,4
76,1,0,5
77,1,0,6
78,1,0,7
79,1,0,8
80,1,0,9
81,1,2,0
82,1,2,3
83,1,2,4
84,1,2,5
85,1,2,6
86,1,2,7
87,1,2,8
88,1,2,9
89,1,3,0
90,1,3,2
91,1,3,4
92,1,3,5
93,1,3,6
94,1,3,7
95,1,3,8
96,1,3,9
97,1,4,0
98,1,4,2
99,1,4,3
100,1,4,5
101,1,4,6
102,1,4,7
103,1,4,8
104,1,4,9
105,1,5,0
106,1,5,2
107,1,5,3
108,1,5,4
109,1,5,6
110,1,5,7
111,1,5,8
112,1,5,9
113,1,6,0
114,1,6,2
115,1,6,3
116,1,6,4
117,1,6,5
118,1,6,7
119,1,6,8
120,1,6,9
121,1,7,0
122,1,7,2
123,1,7,3
124,1,7,4
125,1,7,5
126,1,7,6
127,1,7,8
128,1,7,9
129,1,8,0
130,1,8,2
131,1,8,3
132,1,8,4
133,1,8,5
134,1,8,6
135,1,8,7
136,1,8,9
137,1,9,0
138,1,9,2
139,1,9,3
140,1,9,4
141,1,9,5
142,1,9,6
143,1,9,7
144,1,9,8
145,2,0,1
146,2,0,3
147,2,0,4
148,2,0,5
149,2,0,6
150,2,0,7
151,2,0,8
152,2,0,9
153,2,1,0
154,2,1,3
155,2,1,4
156,2,1,5
157,2,1,6
158,2,1,7
159,2,1,8
160,2,1,9
161,2,3,0
162,2,3,1
163,2,3,4
164,2,3,5
165,2,3,6
166,2,3,7
167,2,3,8
168,2,3,9
169,2,4,0
170,2,4,1
171,2,4,3
172,2,4,5
173,2,4,6
174,2,4,7
175,2,4,8
176,2,4,9
177,2,5,0
178,2,5,1
179,2,5,3
180,2,5,4
181,2,5,6
182,2,5,7
183,2,5,8
184,2,5,9
185,2,6,0
186,2,6,1
187,2,6,3
188,2,6,4
189,2,6,5
190,2,6,7
191,2,6,8
192,2,6,9
193,2,7,0
194,2,7,1
195,2,7,3
196,2,7,4
